hop_count,src,dst,min,avg,max,path_count,avg_hop,min_hop,max_hop
3,357,314,13.0996,13.1155,13.1357,3,3,3,3
3,1128,1062,11.0851,11.0851,11.0851,1,3,3,3
3,1295,1315,17.5528,17.6142,17.6836,3,3,3,3
3,1502,1436,8.6952,8.6952,8.6952,1,3,3,3
4,867,825,20.2813,20.3943,20.4521,6,4,4,4
5,256,320,22.2079,22.5682,22.9045,10,5,5,5
5,424,337,19.7293,19.9028,20.0535,5,5,5,5
5,577,595,30.7505,30.8242,30.8934,3,5,5,5
6,1209,1226,37.1448,37.1997,37.2873,4,6,6,6
6,1508,1571,31.5166,31.6582,31.7466,10,6,6,6
7,49,10,39.6944,39.8676,40.0528,6,7,7,7
7,1162,1201,39.3136,39.5518,39.752,6,7,7,7
7,1265,1226,39.2183,39.2183,39.2183,1,7,7,7
8,1430,22,29.4836,29.4836,29.4836,1,8,8,8
9,975,892,47.2645,47.2645,47.2645,1,9,9,9
9,1306,1200,45.4422,45.4422,45.4422,1,9,9,9
10,64,1575,54.5207,55.0025,55.4253,3,10,10,10
10,733,628,51.9847,51.9847,51.9847,1,10,10,10
11,162,12,52.7206,52.7206,52.7206,1,11,11,11
11,1300,1311,71.9537,71.9537,71.9537,1,11,11,11
12,278,152,60.7757,60.7757,60.7757,1,12,12,12
12,664,632,71.922,72.1136,72.3504,10,12,12,12
12,1147,1021,60.2026,60.5128,60.8519,7,12,12,12
12,1524,78,59.9461,60.5419,61.0831,3,12,12,12
13,25,1386,53.9555,55.1429,55.9759,165,13,13,13
13,141,1462,49.7371,49.9038,50.0705,6,13,13,13
13,1466,1203,46.4401,47.072,47.672,13,13,13,13
15,388,465,85.6342,86.2417,86.6444,35,15,15,15
15,576,698,82.9446,83.3272,83.944,56,15,15,15
16,214,382,80.2275,81.2164,81.7767,165,16,16,16
16,1375,1517,86.9253,87.1525,87.3604,7,16,16,16
17,392,743,59.1909,59.8567,60.496,17,17,17,17
18,24,252,87.2521,88.1855,89.0438,66,18,18,18
18,594,782,91.9511,93.1782,94.4598,165,18,18,18
18,992,596,63.8709,63.8709,63.8709,1,18,18,18
19,194,405,94.8184,95.3277,95.6727,66,19,19,19
20,663,384,90.0549,91.3283,92.4393,105,20,20,20
20,1457,1247,98.6538,100.287,101.79,286,20,20,20
22,537,53,79.1908,79.1908,79.1908,1,22,22,22
22,886,1202,100.318,101.815,103.271,120,22,22,22
22,1190,44,84.051,84.2182,84.3251,6,22,22,22
23,49,1169,83.5113,83.7695,84.0277,2,23,23,23
23,212,626,94.8152,94.9552,95.0952,20,23,23,23
23,888,466,87.7932,88.6814,89.7864,1360,23,23,23
24,523,121,105.534,105.534,105.534,1,24,24,24
24,684,177,89.2657,90.3203,91.3749,24,24,24,24
24,1178,1517,111.66,112.215,112.77,16,24,24,24
25,1008,527,96.4969,98.0614,99.607,26,25,25,25
25,1470,1059,107.563,110.194,112.109,1330,25,25,25
26,603,220,118.387,120.797,122.603,1140,26,26,26
26,1221,167,99.7847,100.497,101.209,16,26,26,26
26,1320,307,99.3452,99.4424,99.5396,2,26,26,26
27,77,1088,102.032,102.19,102.351,23,27,27,27
27,889,525,119.795,122.052,124.313,1365,27,27,27
27,1174,121,187.21,190.847,193.019,5456,51,51,51
27,1556,566,89.575,89.575,89.575,1,27,27,27
28,781,354,125.252,126.33,127.409,20,28,28,28
28,1151,640,109.565,110.405,111.214,14,28,28,28
28,1301,249,105.556,106.678,107.971,728,28,28,28
29,130,1100,113.123,113.39,113.656,2,29,29,29
30,599,1213,107.764,108.485,109.206,2,30,30,30
30,870,1467,108.209,112.551,116.78,4060,30,30,30
31,30,978,115.463,118.022,120.245,406,31,31,31
31,64,1197,142.966,144.5,145.591,684,31,31,31
31,353,965,181.948,183.889,185.1,3,49,49,49
31,671,178,134.404,135.656,136.945,23,31,31,31
31,1370,363,121.539,124.464,126.584,1938,31,31,31
32,223,885,151.382,152.762,154.141,64,44,44,44
32,652,1574,157.057,160.846,164.376,666,44,44,44
33,394,1252,119.788,119.788,119.788,1,33,33,33
33,599,105,142.287,144.381,146.727,300,33,33,33
33,926,1463,142.673,145.587,147.32,2925,33,33,33
33,1179,568,124.305,127.16,130.195,132,33,33,33
34,48,680,139.953,140.959,141.984,29,34,34,34
34,165,706,143.553,145.016,146.478,26,34,34,34
34,1052,9,225.805,229.244,233.084,1998,56,56,56
34,1100,563,140.761,145.184,148.47,264,34,34,34
35,1412,505,140.079,141.253,142.785,3,35,35,35
36,266,1227,142.624,145.153,148.185,459,36,36,36
37,818,1506,146.357,149.354,151.966,528,37,37,37
37,1242,681,232.156,237.604,240.692,124,57,57,57
37,1263,679,211.432,217.502,223.475,16368,55,55,55
37,1331,601,159.068,160.911,162.755,2,43,43,43
37,1582,628,147.528,152.215,156.666,13485,37,37,37
38,1017,411,157.976,162.794,167.295,3420,38,38,38
38,1085,479,157.015,159.557,162.395,60,38,38,38
39,1236,302,162.424,165.855,170.55,2240,39,39,39
40,344,1209,160.343,163.504,166.735,54,40,40,40
40,491,1266,157.503,159.253,161.163,3,40,40,40
40,1098,380,157.982,161.293,163.886,570,40,40,40
41,1129,286,175.364,179.012,181.802,4600,45,45,45
41,1193,452,177.592,181.031,184.081,3,45,45,45
41,1474,802,174.784,177.726,180.283,528,41,41,41
42,1012,236,159.468,162.941,166.992,9828,42,42,42
43,180,964,175.551,178.524,181.908,116,45,45,45
43,183,921,204.886,209.017,214.725,21824,51,51,51
43,938,89,194.489,196.799,198.86,128,47,47,47
44,1035,278,176.399,180.025,182.848,96,44,44,44
44,1151,373,179.382,181.383,184.428,3,44,44,44
45,231,1055,186.47,190.468,192.872,100,45,45,45
