hop_count,src,dst,min,avg,max,path_count,avg_hop,min_hop,max_hop
3,357,314,13.0996,13.1054,13.1111,2,3,3,3
3,1128,1062,11.0851,11.0851,11.0851,1,3,3,3
3,1295,1315,17.5528,17.6142,17.6836,3,3,3,3
3,1502,1436,8.6952,8.6952,8.6952,1,3,3,3
4,867,825,20.2813,20.2813,20.2813,1,4,4,4
5,256,320,22.2079,22.2079,22.2079,1,5,5,5
5,424,337,19.7293,19.7293,19.7293,1,5,5,5
5,577,595,30.7505,30.8242,30.8934,3,5,5,5
6,1209,1226,37.1448,37.1997,37.2873,4,6,6,6
6,1508,1571,31.5958,31.6779,31.7466,6,6,6,6
7,49,10,39.4091,39.6179,39.8184,6,7,7,7
7,1162,1201,39.3136,39.3607,39.4078,2,7,7,7
7,1265,1226,39.2183,39.737,40.0422,3,7,7,7
8,1430,22,29.4836,29.4836,29.4836,1,8,8,8
9,975,892,46.3949,46.8402,47.2645,6,9,9,9
9,1306,1200,44.8509,45.1466,45.4422,3,9,9,9
10,64,1575,54.5207,54.9725,55.4253,6,10,10,10
10,733,628,50.9391,51.4391,51.9847,6,10,10,10
11,162,12,51.8336,52.2771,52.7206,4,11,11,11
11,1300,1311,71.9537,71.9537,71.9537,1,11,11,11
12,278,152,59.0525,59.9271,60.7757,10,12,12,12
12,664,632,72.0065,72.2567,72.5904,16,12,12,12
12,1147,1021,59.3465,59.8576,60.277,20,12,12,12
12,1524,78,59.2612,60.2736,61.0831,10,12,12,12
13,25,1386,53.9555,53.9555,53.9555,1,13,13,13
13,141,1462,49.7371,49.7619,49.7867,2,13,13,13
13,1466,1203,47.6038,47.6379,47.672,2,13,13,13
15,388,465,85.0932,85.9739,86.6444,40,15,15,15
15,576,698,83.1763,83.8277,84.6721,40,15,15,15
16,214,382,78.6301,79.924,81.7767,60,16,16,16
16,1375,1517,84.983,86.6358,87.455,20,16,16,16
17,392,743,60.4426,60.4693,60.496,2,17,17,17
18,24,252,85.7543,86.9715,87.9084,63,18,18,18
18,594,782,91.9511,93.5667,94.7958,140,18,18,18
18,992,596,63.8709,63.8709,63.8709,1,18,18,18
19,194,405,92.0785,93.4337,95.6727,21,19,19,19
20,663,384,87.9155,89.0848,90.0549,36,20,20,20
20,1457,1247,98.2095,100.183,101.79,84,20,20,20
22,537,53,79.1908,79.1908,79.1908,1,22,22,22
