hop_count,src,dst,min,avg,max,path_count,avg_hop,min_hop,max_hop
3,357,314,13.0996,19.6577,26.2202,3,4,3,5
3,1128,1062,11.0851,11.0851,11.0851,1,3,3,3
3,1295,1315,17.6836,21.9696,24.1402,3,3.66667,3,4
3,1502,1436,8.6952,8.6952,8.6952,1,3,3,3
4,867,825,20.4521,20.4521,20.4521,1,4,4,4
5,256,320,22.2079,31.162,35.7035,6,6.33333,5,7
5,424,337,19.7293,32.9876,46.2232,5,7,5,9
5,577,595,30.6497,35.9951,37.4358,5,5.8,5,6
6,1209,1226,37.416,42.7085,43.9024,6,6.83333,6,7
6,1508,1571,31.7081,41.4251,51.1422,4,7.5,6,9
7,49,10,39.269,50.474,53.1366,21,8.66667,7,9
7,1162,1201,39.4078,50.3156,52.8212,21,8.66667,7,9
7,1265,1226,40.0422,50.4824,53.0287,21,8.66667,7,9
8,1430,22,235.869,235.869,235.869,1,64,64,64
9,975,892,47.4477,60.4393,73.4206,5,11,9,13
9,1306,1200,45.6589,61.8984,78.1379,6,11.5,9,14
10,64,1575,295.001,355.899,366.325,31824,85.625,76,87
10,733,628,52.2014,68.4409,84.6804,6,12.5,10,15
11,162,12,53.029,75.7616,98.4943,8,14.5,11,18
11,1300,1311,71.9537,71.9537,71.9537,1,11,11,11
12,278,152,59.7649,87.5922,93.2334,462,16.2857,12,17
12,664,632,85.8419,96.3752,98.8283,21,15.6667,14,16
12,1147,1021,59.8518,65.4395,66.508,7,12.8571,12,13
12,1524,78,259.937,379.197,497.951,54,88.5,72,105
13,25,1386,232.466,247.575,252.769,20,67.25,65,68
13,141,1462,222.517,242.365,262.194,7,64,61,67
13,1466,1203,47.672,63.7644,79.8567,6,15.5,13,18
15,388,465,86.6273,108.62,112.511,330,18.5,15,19
15,576,698,97.9624,124.247,130.442,252,21.1667,17,22
16,214,382,80.3441,122.028,153.255,42,22.3333,16,27
16,1375,1517,87.455,121.88,126.588,8008,21.4545,16,22
17,392,743,60.496,89.5368,118.578,10,21.5,17,26
18,24,252,87.8224,144.947,154.463,43758,26.8889,18,28
18,594,782,107.982,133.961,159.927,9,24,20,28
18,992,596,63.8709,63.8709,63.8709,1,18,18,18
19,194,405,94.3367,140.476,186.634,14,26,19,33
20,663,384,89.2757,123.672,129.953,1716,25.25,20,26
20,1457,1247,99.2709,135.641,160.992,70,25.4,20,29
22,537,53,79.1908,79.1908,79.1908,1,22,22,22
22,886,1202,100.806,147.431,175.583,168,29,22,33
22,1190,44,197.599,237.519,257.665,55,60,54,63
23,49,1169,181.498,203.625,214.928,21,56.3333,53,58
23,212,626,91.1096,119.467,147.122,3,27,23,31
23,888,466,91.3765,101.553,104.234,15,24.6,23,25
24,523,121,98.4443,133.095,140.042,924,29.1429,24,30
24,684,177,89.2657,99.2045,109.143,4,25.5,24,27
24,1178,1517,112.31,157.949,164.855,24310,31.2,24,32
25,1008,527,93.8091,93.8091,93.8091,1,25,25,25
25,1470,1059,161.963,249.614,287.624,63648,46.625,33,52
26,603,220,121.168,126.968,127.771,10,26.9,26,27
26,1221,167,189.955,207.126,215.928,15,52.6667,50,54
26,1320,307,309.449,510.747,662.508,923780,99.0909,68,122
27,77,1088,176.041,188.784,201.549,5,49,47,51
27,889,525,125.45,139.366,153.092,3,29,27,31
27,1174,121,188.372,232.036,275.003,5,57,51,63
27,1556,566,146.082,146.082,146.082,1,45,45,45
28,781,354,129.867,172.23,181.552,12870,34.7222,28,36
28,1151,640,109.234,141.971,149.513,462,33,28,34
28,1301,249,190.948,190.948,190.948,1,52,52,52
29,130,1100,291.675,435.606,569.375,330,86.8182,65,107
30,599,1213,104.887,135.875,151.711,36,34.6667,30,37
30,870,1467,116.78,145.213,155.435,84,34.5,30,36
31,30,978,162.084,197.766,215.853,45,50.3333,45,53
31,64,1197,259.363,411.206,562.979,35,86,63,109
31,353,965,217.383,322.324,394.568,19305,61.2222,45,72
31,671,178,139.91,163.124,172.146,495,34.6667,31,36
31,1370,363,186.951,261.015,333.059,5,61,51,71
32,223,885,116.072,133.155,141.834,15,34.6667,32,36
32,652,1574,157.057,206.154,231.218,78,51.3333,44,55
33,394,1252,139.176,139.176,139.176,1,39,39,39
33,599,105,157.783,238.489,288.253,5148,47,35,54
33,926,1463,144.861,205.107,265.081,3,42,33,51
33,1179,568,131.916,184.604,196.096,3003,41.3333,33,43
34,48,680,199.993,283.743,338.333,15015,56.4,44,64
34,165,706,149.82,200.937,214.419,38610,42.1111,34,44
34,1052,9,221.687,341.062,460.437,48,73.5,56,91
34,1100,563,176.1,291.007,384.952,198,55.6667,38,70
35,1412,505,251.28,356.692,455.612,55,73.9091,59,88
36,266,1227,252.69,381.136,479.716,6864,77.5,58,92
37,818,1506,141.33,187.077,196.383,3003,43.8571,37,45
37,1242,681,167.387,202.801,213.392,9009,42.5455,37,44
37,1263,679,164.04,205.998,224.563,3861,43.4444,37,46
37,1331,601,146.586,194.302,217.61,660,44.5,37,48
37,1582,628,208.023,247.588,254.066,6435,57.2222,51,58
38,1017,411,159.1,228.53,279.56,378,48,38,55
38,1085,479,160.563,215.269,260.038,112,45.7143,38,52
39,1236,302,224.054,351.255,438.167,12012,73.8333,55,86
40,344,1209,178.285,212.639,218.959,1716,51.25,46,52
40,491,1266,154.764,228.005,299.709,40,50.5,40,61
40,1098,380,207.053,336.467,443.837,840,65.8,46,82
41,1129,286,174.152,232.158,242.643,19448,53.75,45,55
41,1193,452,158.353,233.817,308.33,16,51.5,41,62
41,1474,802,180.741,243.988,252.543,352716,51,41,52
42,1012,236,237.315,350.557,459.696,24,69.3333,52,86
43,180,964,211.662,324.42,404.428,13728,65.625,49,77
43,183,921,192.511,264.59,312.097,5148,55.4444,45,62
43,938,89,216.925,300.037,348.561,45760,63.3,51,70
44,1035,278,214.029,332.723,417.359,1092,66.25,48,79
44,1151,373,215.166,299.618,348.334,77792,62.3636,50,69
45,231,1055,202.76,265.894,274.51,352716,57,47,58
