hop_count,src,dst,min,avg,max,path_count,avg_hop,min_hop,max_hop
3,357,314,13.0996,19.6577,26.2202,3,4,3,5
3,1128,1062,11.0851,11.0851,11.0851,1,3,3,3
3,1295,1315,17.6836,21.9696,24.1402,3,3.66667,3,4
3,1502,1436,8.6952,8.6952,8.6952,1,3,3,3
4,867,825,20.4521,20.4521,20.4521,1,4,4,4
5,256,320,22.2079,35.64,42.5157,10,7,5,8
5,424,337,19.7293,32.9876,46.2232,5,7,5,9
5,577,595,30.6497,35.9951,37.4358,5,5.8,5,6
6,1209,1226,37.416,42.7085,43.9024,6,6.83333,6,7
6,1508,1571,31.7081,41.4251,51.1422,4,7.5,6,9
7,49,10,39.269,50.474,53.1366,21,8.66667,7,9
7,1162,1201,39.4078,50.3156,52.8212,21,8.66667,7,9
7,1265,1226,40.0422,50.4824,53.0287,21,8.66667,7,9
8,1430,22,235.869,235.869,235.869,1,64,64,64
9,975,892,47.4477,60.4393,73.4206,5,11,9,13
9,1306,1200,45.6589,61.8984,78.1379,6,11.5,9,14
10,64,1575,295.001,422.309,444.117,2.0358e+06,96.125,76,99
10,733,628,52.2014,68.4409,84.6804,6,12.5,10,15
11,162,12,53.029,75.7616,98.4943,8,14.5,11,18
11,1300,1311,71.9537,71.9537,71.9537,1,11,11,11
12,278,152,59.7649,93.1453,99.9899,924,17.1429,12,18
12,664,632,85.8419,96.3752,98.8283,21,15.6667,14,16
12,1147,1021,59.8518,65.4395,66.508,7,12.8571,12,13
12,1524,78,264.597,371.292,477.742,63,87,72,102
13,25,1386,232.466,308.185,334.297,816,76.25,65,80
13,141,1462,222.517,282.043,341.549,19,70,61,79
13,1466,1203,47.672,86.2679,124.832,13,19,13,25
15,388,465,86.6273,108.62,112.511,330,18.5,15,19
15,576,698,97.9624,124.247,130.442,252,21.1667,17,22
16,214,382,81.6609,115.91,133.429,45,21.3333,16,24
16,1375,1517,87.455,121.88,126.588,8008,21.4545,16,22
17,392,743,60.496,89.5368,118.578,10,21.5,17,26
18,24,252,87.8224,144.947,154.463,43758,26.8889,18,28
18,594,782,107.982,133.961,159.927,9,24,20,28
18,992,596,63.8709,63.8709,63.8709,1,18,18,18
19,194,405,95.5279,127.873,160.238,11,24,19,29
20,663,384,89.2757,123.672,129.953,1716,25.25,20,26
20,1457,1247,102.248,152.981,167.18,1001,28,20,30
22,537,53,79.1908,79.1908,79.1908,1,22,22,22
22,886,1202,100.806,147.431,175.583,168,29,22,33
22,1190,44,197.599,290.774,337.807,253,68,54,75
23,49,1169,181.498,203.625,214.928,21,56.3333,53,58
23,212,626,91.1096,106.039,120.968,2,25,23,27
23,888,466,91.3765,101.553,104.234,15,24.6,23,25
24,523,121,98.4443,202.277,223.236,134596,39.4286,24,42
24,684,177,89.2657,139.015,188.765,16,31.5,24,39
24,1178,1517,112.31,197.869,210.84,1.3075e+06,37.5,24,39
25,1008,527,93.8091,93.8091,93.8091,1,25,25,25
25,1470,1059,164.147,262.983,280.624,480700,48.75,33,51
26,603,220,121.168,196.002,207.298,497420,37.7,26,39
26,1221,167,189.955,258.682,293.847,153,60.6667,50,66
26,1320,307,309.449,438.784,518.582,554268,88.0909,68,100
27,77,1088,176.041,182.248,188.467,3,48,47,49
27,889,525,125.45,132.73,140.01,2,28,27,29
27,1174,121,190.695,213.806,235.754,3,54,51,57
27,1556,566,146.082,146.082,146.082,1,45,45,45
28,781,354,129.867,172.23,181.552,12870,34.7222,28,36
28,1151,640,109.234,207.394,230.07,33649,43,28,46
28,1301,249,190.948,252.672,268.796,1820,61.6,52,64
29,130,1100,291.675,370.211,438.678,198,76.8182,65,87
30,599,1213,104.887,135.875,151.711,36,34.6667,30,37
30,870,1467,116.78,202.164,232.745,1330,43.5,30,48
31,30,978,162.084,251.255,296.506,231,58.3333,45,65
31,64,1197,259.363,345.838,432.281,21,76,63,89
31,353,965,217.907,356.709,407.064,4.44015e+06,66.8889,45,74
31,671,178,139.737,226.865,243.258,980628,44.8333,31,47
31,1370,363,186.951,227.857,267.64,3,56,51,61
32,223,885,116.072,184.466,219.12,153,42.6667,32,48
32,652,1574,157.057,259.75,312.192,300,59.3333,44,67
33,394,1252,139.176,139.176,139.176,1,39,39,39
33,599,105,162.659,285.211,326.92,354200,54.2857,35,60
33,926,1463,146.501,176.351,206.2,2,37.5,33,42
33,1179,568,131.916,247.86,273.112,80730,51.3333,33,55
34,48,680,199.993,260.727,292.537,10010,52.9,44,57
34,165,706,149.82,197.682,207.878,25740,41.6111,34,43
34,1052,9,225.26,329.398,433.536,48,71.5,56,87
34,1100,563,176.095,306.582,390.907,552,58.1667,38,71
35,1412,505,251.28,310.583,364.024,33,66.9091,59,74
36,266,1227,252.69,351.97,420.835,5148,73,58,83
37,818,1506,141.33,255.621,278.961,230230,54.1429,37,57
37,1242,681,167.561,268.459,285.118,1.68726e+07,52.9545,37,55
37,1263,679,165.065,266.801,289.399,2.16315e+06,53.1111,37,56
37,1331,601,146.413,244.963,282.181,3542,52.5,37,58
37,1582,628,208.023,315.386,333.017,2.22008e+06,67.8889,51,70
38,1017,411,159.1,208.858,240.309,252,45,38,49
38,1085,479,160.563,202.544,233.871,84,43.7143,38,48
39,1236,302,224.054,328.987,392.373,9009,70.3333,55,79
40,344,1209,178.285,212.639,218.959,1716,51.25,46,52
40,491,1266,154.764,215.279,273.541,30,48.5,40,57
40,1098,380,207.053,303.88,378.491,630,60.8,46,72
41,1129,286,174.152,232.158,242.643,19448,53.75,45,55
41,1193,452,158.353,214.845,269.078,12,48.5,41,56
41,1474,802,180.741,243.988,252.543,352716,51,41,52
42,1012,236,237.31,341.515,393.688,17136,68.3333,52,76
43,180,964,215.911,345.762,390.756,1.3156e+06,69.125,49,75
43,183,921,196.197,306.51,337.68,2.16315e+06,62.1111,45,66
43,938,89,219.832,343.261,374.419,1.38138e+07,70.1,51,74
44,1035,278,214.029,300.013,351.938,728,61.25,48,69
44,1151,373,215.166,286.978,322.167,58344,60.3636,50,65
45,231,1055,202.76,334.75,352.777,9.2561e+07,67.9091,47,70
