hop_count,src,dst,min,avg,max,path_count,avg_hop,min_hop,max_hop
3,357,314,13.0996,13.1054,13.1111,2,3,3,3
3,1128,1062,11.0851,11.0851,11.0851,1,3,3,3
3,1295,1315,17.5528,17.6142,17.6836,3,3,3,3
3,1502,1436,8.6952,8.6952,8.6952,1,3,3,3
4,867,825,20.2813,20.3943,20.4521,6,4,4,4
5,256,320,22.2079,22.5682,22.9045,10,5,5,5
5,424,337,19.7293,19.7293,19.7293,1,5,5,5
5,577,595,30.7505,30.8242,30.8934,3,5,5,5
6,1209,1226,37.1448,37.1997,37.2873,4,6,6,6
6,1508,1571,31.5166,31.6582,31.7466,10,6,6,6
7,49,10,39.6944,39.8676,40.0528,6,7,7,7
7,1162,1201,39.3136,39.5518,39.752,6,7,7,7
7,1265,1226,39.2183,39.737,40.0422,3,7,7,7
8,1430,22,29.4836,29.4836,29.4836,1,8,8,8
9,975,892,47.2645,47.2645,47.2645,1,9,9,9
9,1306,1200,44.8509,45.1466,45.4422,2,9,9,9
10,64,1575,54.5207,55.0025,55.4253,3,10,10,10
10,733,628,51.4619,51.7119,51.9847,3,10,10,10
11,162,12,52.7206,52.7206,52.7206,1,11,11,11
11,1300,1311,71.9537,71.9537,71.9537,1,11,11,11
12,278,152,59.0525,59.9033,60.7757,3,12,12,12
12,664,632,71.922,72.1136,72.3504,10,12,12,12
12,1147,1021,59.3465,59.8506,60.277,6,12,12,12
12,1524,78,59.9461,60.5419,61.0831,3,12,12,12
13,25,1386,53.9555,53.9555,53.9555,1,13,13,13
13,141,1462,49.7371,49.9038,50.0705,6,13,13,13
13,1466,1203,47.6038,47.6379,47.672,2,13,13,13
15,388,465,85.6342,86.2417,86.6444,35,15,15,15
15,576,698,82.9446,83.3272,83.944,56,15,15,15
16,214,382,78.6301,79.8463,81.7767,12,16,16,16
16,1375,1517,86.2779,86.9829,87.3919,20,16,16,16
17,392,743,60.4426,60.4693,60.496,2,17,17,17
18,24,252,86.0752,87.2579,88.1526,30,18,18,18
18,594,782,91.9511,93.5265,94.7033,80,18,18,18
18,992,596,63.8709,63.8709,63.8709,1,18,18,18
19,194,405,92.6265,93.8061,95.6727,18,19,19,19
20,663,384,88.878,90.1183,91.1299,84,20,20,20
20,1457,1247,98.4911,100.191,101.79,360,20,20,20
22,537,53,79.1908,79.1908,79.1908,1,22,22,22
