hop_count,src,dst,min,avg,max,path_count,avg_hop,min_hop,max_hop
3,357,314,13.0996,13.1155,13.1357,3,3,3,3
3,1128,1062,11.0851,11.0851,11.0851,1,3,3,3
3,1295,1315,17.5528,17.6142,17.6836,3,3,3,3
3,1502,1436,8.6952,8.6952,8.6952,1,3,3,3
4,867,825,20.4521,20.4521,20.4521,1,4,4,4
5,256,320,22.2079,22.5682,22.9045,10,5,5,5
5,424,337,19.7293,19.9028,20.0535,5,5,5,5
5,577,595,30.6497,30.7612,30.8934,5,5,5,5
6,1209,1226,37.1448,37.2631,37.416,6,6,6,6
6,1508,1571,31.5166,31.6123,31.7081,4,6,6,6
7,49,10,39.269,39.5701,40.0528,21,7,7,7
7,1162,1201,39.2084,39.4281,39.752,21,7,7,7
7,1265,1226,39.2183,39.591,40.0422,21,7,7,7
8,1430,22,29.4836,29.4836,29.4836,1,8,8,8
9,975,892,47.2645,47.3611,47.4477,5,9,9,9
9,1306,1200,45.4422,45.5506,45.6589,6,9,9,9
10,64,1575,54.3437,54.8418,55.4253,120,10,10,10
10,733,628,51.9847,52.0931,52.2014,6,10,10,10
11,162,12,52.7206,52.8748,53.029,8,11,11,11
11,1300,1311,71.8942,71.8942,71.8942,1,11,11,11
12,278,152,58.8335,59.5488,60.7757,924,12,12,12
12,664,632,71.922,72.3211,72.7145,21,12,12,12
12,1147,1021,58.9264,59.6358,60.8519,924,12,12,12
12,1524,78,61.0831,61.2267,61.358,7,12,12,12
13,25,1386,53.9555,55.4318,56.4811,286,13,13,13
13,141,1462,49.7371,50.1529,50.5885,13,13,13,13
13,1466,1203,46.4401,47.072,47.672,13,13,13,13
15,388,465,85.0599,85.7215,86.6273,330,15,15,15
15,576,698,82.9446,83.7612,84.8007,252,15,15,15
16,214,382,80.2275,119.081,121.035,12915,21.9791,16,22
16,1375,1517,84.983,86.2382,87.455,8008,16,16,16
17,392,743,59.1909,59.8567,60.496,17,17,17,17
18,24,252,85.1252,86.7926,89.0438,43758,18,18,18
18,594,782,91.5305,93.0542,94.7003,24310,18,18,18
18,992,596,63.8709,63.8709,63.8709,1,18,18,18
19,194,405,117.812,119.693,121.88,92378,23,23,23
20,663,384,87.2173,89.3309,92.4393,77520,20,20,20
20,1457,1247,98.6538,111.467,115.142,9009,21.7778,20,22
22,537,53,79.1908,79.1908,79.1908,1,22,22,22
22,886,1202,100.318,102.324,103.913,680,22,22,22
22,1190,44,84.051,85.604,86.7922,231,22,22,22
23,49,1169,80.7353,82.2072,84.0277,253,23,23,23
23,212,626,94.8152,94.8152,94.8152,1,23,23,23
23,888,466,87.2626,88.7577,91.3765,8855,23,23,23
24,523,121,98.1177,101.463,105.534,134596,24,24,24
24,684,177,89.2657,90.3203,91.3749,24,24,24,24
24,1178,1517,106.694,109.661,112.77,1.3075e+06,24,24,24
25,1008,527,93.8091,97.3448,100.332,2300,25,25,25
25,1470,1059,107.563,110.194,112.109,1330,25,25,25
26,603,220,115.819,118.93,122.603,3.12455e+06,26,26,26
26,1221,167,98.1509,100.048,101.515,325,26,26,26
26,1320,307,99.3452,99.3452,99.3452,1,26,26,26
27,77,1088,101.974,101.974,101.974,1,27,27,27
27,889,525,119.795,122.893,126.928,1.08158e+06,27,27,27
27,1174,121,108.065,108.065,108.065,1,27,27,27
27,1556,566,89.575,89.575,89.575,1,27,27,27
28,781,354,122.375,125.479,129.694,2.22008e+06,28,28,28
28,1151,640,106.92,109.254,113.214,98280,28,28,28
28,1301,249,104.857,106.42,108.559,20475,28,28,28
29,130,1100,113.656,113.656,113.656,1,29,29,29
30,599,1213,104.887,106.789,109.206,435,30,30,30
30,870,1467,108.209,112.551,116.78,4060,30,30,30
31,30,978,115.463,118.213,120.604,465,31,31,31
31,64,1197,137.53,141.338,145.666,1.0015e+07,31,31,31
31,353,965,121.438,124.035,126.3,406,31,31,31
31,671,178,131.011,134.743,139.632,5.85292e+06,31,31,31
31,1370,363,128.521,128.521,128.521,1,31,31,31
32,223,885,111.445,113.484,116.072,496,32,32,32
32,652,1574,115.918,119.226,122.246,496,32,32,32
33,394,1252,119.788,119.788,119.788,1,33,33,33
33,599,105,142.287,158.621,164.285,492570,34.9287,33,35
33,926,1463,163.52,168.563,173.408,1.31128e+08,37,37,37
33,1179,568,124.305,127.067,131.916,237336,33,33,33
34,48,680,139.953,140.959,141.984,29,34,34,34
34,165,706,139.644,143.968,149.569,1.38842e+07,34,34,34
34,1052,9,165.795,170.651,176.096,5.24513e+07,38,38,38
34,1100,563,139.427,143.79,149.466,1.38842e+07,34,34,34
35,1412,505,142.785,142.785,142.785,1,35,35,35
36,266,1227,140.007,145.646,151.098,40920,36,36,36
37,818,1506,139.691,144.611,151.966,2.32478e+06,37,37,37
37,1242,681,156.984,162.447,167.696,2.54187e+08,37,37,37
37,1263,679,154.925,159.598,165.92,2.35358e+07,37,37,37
37,1331,601,136.468,141.697,146.221,7140,37,37,37
37,1582,628,145.985,150.93,156.721,3.8608e+07,37,37,37
38,1017,411,158.515,174.298,181.189,1.38086e+06,39.9479,38,40
38,1085,479,157.015,162.058,168.551,1.3449e+06,38,38,38
39,1236,302,161.497,166.52,172.863,278256,39,39,39
40,344,1209,154.945,160.055,167.895,1.86436e+07,40,40,40
40,491,1266,161.163,161.957,162.752,36,40,40,40
40,1098,380,157.25,162.964,170.267,2.76068e+06,40,40,40
41,1129,286,157.271,163.013,171.101,2.24819e+07,41,41,41
41,1193,452,169.525,215.796,222.81,5.63922e+08,49,41,49
41,1474,802,168.263,174.585,180.741,1.1211e+09,41,41,41
42,1012,236,157.036,163.35,171.301,1.4988e+06,42,42,42
43,180,964,171.527,177.038,181.815,8436,43,43,43
43,183,921,187.655,193.381,201.113,9.55482e+07,45,45,45
43,938,89,196.509,202.901,209.832,5.63922e+08,47,47,47
44,1035,278,174.578,179.998,188.313,2.69783e+07,44,44,44
44,1151,373,209.342,216.901,224.173,8.1527e+09,50,50,50
45,231,1055,178.701,186.175,193.25,3.19019e+09,45,45,45
