hop_count,src,dst,min,avg,max,path_count,avg_hop,min_hop,max_hop
3,357,314,13.0996,19.6577,26.2202,3,4,3,5
3,1128,1062,11.0851,11.0851,11.0851,1,3,3,3
3,1295,1315,17.6836,21.9696,24.1402,3,3.66667,3,4
3,1502,1436,8.6952,8.6952,8.6952,1,3,3,3
4,867,825,20.2813,29.116,33.5336,6,5.33333,4,6
5,256,320,22.2079,35.64,42.5157,10,7,5,8
5,424,337,19.7293,26.3622,32.9762,3,6,5,7
5,577,595,30.6497,35.9951,37.4358,5,5.8,5,6
6,1209,1226,37.416,42.7085,43.9024,6,6.83333,6,7
6,1508,1571,31.6215,46.3677,51.3632,20,8.25,6,9
7,49,10,39.269,50.474,53.1366,21,8.66667,7,9
7,1162,1201,39.4078,39.4078,39.4078,1,7,7,7
7,1265,1226,40.0422,50.4824,53.0287,21,8.66667,7,9
8,1430,22,235.869,235.869,235.869,1,64,64,64
9,975,892,46.2188,68.7859,73.6108,126,12.3333,9,13
9,1306,1200,44.7508,71.5135,78.3631,126,13,9,14
10,64,1575,295.001,389.103,405.221,346104,90.875,76,93
10,733,628,50.763,78.9643,84.9056,252,14.1667,10,15
11,162,12,51.7335,89.2149,98.8146,330,16.6,11,18
11,1300,1311,71.9537,75.1921,78.4304,2,11.5,11,12
12,278,152,59.7649,93.1453,99.9899,924,17.1429,12,18
12,664,632,72.0379,84.2521,85.8298,66,13.8182,12,14
12,1147,1021,59.8518,93.2824,100.106,924,17.1429,12,18
12,1524,78,256.831,338.75,353.838,38760,84,72,86
13,25,1386,232.466,277.881,293.533,220,71.75,65,74
13,141,1462,222.517,262.204,301.872,13,67,61,73
13,1466,1203,47.672,86.2679,124.832,13,19,13,25
15,388,465,85.6157,107.039,112.511,728,18.25,15,19
15,576,698,83.2191,113.691,117.585,3003,19.5455,15,20
16,214,382,78.4808,126.889,134.089,12870,23.1111,16,24
16,1375,1517,87.455,121.88,126.588,8008,21.4545,16,22
17,392,743,60.496,108.888,157.28,16,24.5,17,32
18,24,252,87.8224,144.947,154.463,43758,26.8889,18,28
18,594,782,94.8299,140.746,147.02,43758,25.2727,18,26
18,992,596,63.8709,63.8709,63.8709,1,18,18,18
19,194,405,92.55,92.55,92.55,1,19,19,19
20,663,384,89.2757,89.2757,89.2757,1,20,20,20
20,1457,1247,98.1846,159.685,167.656,184756,29.0909,20,30
22,537,53,79.1908,79.1908,79.1908,1,22,22,22
22,886,1202,98.4766,98.4766,98.4766,1,22,22,22
22,1190,44,197.599,264.147,297.736,136,64,54,69
23,49,1169,181.498,256.789,295.288,171,64.3333,53,70
23,212,626,90.1405,144.129,158.098,1001,31,23,33
23,888,466,91.3765,162.718,181.381,3060,34.2,23,37
24,523,121,98.4443,167.687,181.639,18564,34.2857,24,36
24,684,177,89.2657,119.11,148.954,10,28.5,24,33
24,1178,1517,112.31,192.174,204.263,817190,36.6,24,38
25,1008,527,93.8091,154.578,175.823,455,34,25,37
25,1470,1059,106.48,135.969,140.649,792,29.375,25,30
26,603,220,121.168,161.468,167.534,11440,32.3,26,33
26,1221,167,189.955,232.903,254.887,66,56.6667,50,60
26,1320,307,178.687,191.732,204.782,5,50,48,52
27,77,1088,176.051,218.474,260.897,14,53.5,47,60
27,889,525,125.45,195.325,204.964,646646,37.9091,27,39
27,1174,121,187.21,247.556,268.023,455,60,51,63
27,1556,566,146.082,146.082,146.082,1,45,45,45
28,781,354,129.965,135.706,136.495,10,28.9,28,29
28,1151,640,109.234,141.971,149.513,462,33,28,34
28,1301,249,190.948,221.806,229.872,210,56.8,52,58
29,130,1100,173.834,235.63,266.635,120,56.3333,47,61
30,599,1213,104.887,109.294,111.531,3,30.6667,30,31
30,870,1467,116.78,173.688,194.09,455,39,30,42
31,30,978,162.084,197.766,215.853,45,50.3333,45,53
31,64,1197,258.987,262.225,265.463,2,63.5,63,64
31,353,965,125.555,162.012,171.641,330,36.6,31,38
31,671,178,139.95,191.047,198.691,48620,39.1,31,40
31,1370,363,184.359,189.961,191.162,6,51.8333,51,52
32,223,885,116.072,133.155,141.834,15,34.6667,32,36
32,652,1574,157.057,232.952,271.705,171,55.3333,44,61
33,394,1252,139.176,139.176,139.176,1,39,39,39
33,599,105,141.998,221.95,232.194,1.14407e+06,44.8182,33,46
33,926,1463,144.041,213.795,224.17,293930,43.8,33,45
33,1179,568,131.916,184.604,196.096,3003,41.3333,33,43
34,48,680,132.511,202.557,215.263,18564,44.2857,34,46
34,165,706,149.935,229.348,241.303,817190,46.6,34,48
34,1052,9,218.509,320.34,334.88,3.12455e+06,71.3,56,73
34,1100,563,149.876,206.477,215.114,92378,43,34,44
35,1412,505,172.607,246.284,262.142,8568,57.8333,47,60
36,266,1227,199.457,205.169,206.094,8,50.875,50,51
37,818,1506,141.33,221.349,237.672,38760,49,37,51
37,1242,681,167.32,199.758,206.711,8736,42.0833,37,43
37,1263,679,163.639,192.787,196.744,3003,41.5455,37,42
37,1331,601,146.702,187.566,198.913,495,43.4,37,45
37,1582,628,208.023,247.588,254.066,6435,57.2222,51,58
38,1017,411,157.201,261.76,275.169,8.43628e+06,53.4545,38,55
38,1085,479,159.948,244.622,255.82,1.96126e+06,50.7273,38,52
39,1236,302,207.429,231.797,235.013,1001,56.6364,53,57
40,344,1209,178.285,178.285,178.285,1,46,46,46
40,491,1266,152.094,168.992,172.542,56,42.5,40,43
40,1098,380,167.428,167.428,167.428,1,40,40,40
41,1129,286,174.152,197.382,201.548,330,48.5,45,49
41,1193,452,157.267,246.456,261.341,170544,54.125,41,56
41,1474,802,180.741,278.477,291.705,8.43628e+06,56.4545,41,58
42,1012,236,171.884,209.74,217.555,1716,48,42,49
43,180,964,170.084,212.137,218.242,6435,49.2222,43,50
43,183,921,178.044,208.293,212.193,3003,47.5455,43,48
43,938,89,189.087,266.154,277.374,497420,58.7,47,60
44,1035,278,187.342,215.972,220.257,2002,48.5,44,49
44,1151,373,173.935,179.816,180.688,9,44.8889,44,45
45,231,1055,202.76,265.894,274.51,352716,57,47,58
