hop_count,src,dst,min,avg,max,path_count,avg_hop,min_hop,max_hop
3,357,314,13.0996,13.1155,13.1357,3,3,3,3
3,1128,1062,11.0851,11.0851,11.0851,1,3,3,3
3,1295,1315,17.5528,17.6142,17.6836,3,3,3,3
3,1502,1436,8.6952,8.6952,8.6952,1,3,3,3
4,867,825,20.4521,20.4521,20.4521,1,4,4,4
5,256,320,22.2079,22.5682,22.9045,10,5,5,5
5,424,337,19.7293,19.8198,19.8914,3,5,5,5
5,577,595,30.6497,30.7612,30.8934,5,5,5,5
6,1209,1226,37.1448,37.2631,37.416,6,6,6,6
6,1508,1571,31.5166,31.6123,31.7081,4,6,6,6
7,49,10,39.269,39.5701,40.0528,21,7,7,7
7,1162,1201,39.4078,39.4078,39.4078,1,7,7,7
7,1265,1226,39.2183,39.591,40.0422,21,7,7,7
8,1430,22,29.4836,29.4836,29.4836,1,8,8,8
9,975,892,47.2645,47.3611,47.4477,5,9,9,9
9,1306,1200,45.4422,45.5506,45.6589,6,9,9,9
10,64,1575,55.4253,55.4253,55.4253,1,10,10,10
10,733,628,51.9847,52.0931,52.2014,6,10,10,10
11,162,12,52.7206,52.8748,53.029,8,11,11,11
11,1300,1311,71.8942,71.8942,71.8942,1,11,11,11
12,278,152,58.8335,59.5488,60.7757,924,12,12,12
12,664,632,71.922,72.3211,72.7145,21,12,12,12
12,1147,1021,58.9264,59.6358,60.8519,924,12,12,12
12,1524,78,59.9461,60.6521,61.358,8,12,12,12
13,25,1386,53.9555,55.1429,55.9759,165,13,13,13
13,141,1462,49.7371,49.9038,50.0705,6,13,13,13
13,1466,1203,46.4401,47.072,47.672,13,13,13,13
15,388,465,85.2659,85.8225,86.6273,240,15,15,15
15,576,698,82.9446,83.7612,84.8007,252,15,15,15
16,214,382,80.2275,119.081,121.035,12915,21.9791,16,22
16,1375,1517,84.983,86.2382,87.455,8008,16,16,16
17,392,743,59.3006,59.8983,60.496,16,17,17,17
18,24,252,85.1252,86.7926,89.0438,43758,18,18,18
18,594,782,91.5305,93.0542,94.7003,24310,18,18,18
18,992,596,63.8709,63.8709,63.8709,1,18,18,18
19,194,405,118.753,120.316,121.88,2,23,23,23
20,663,384,89.2757,89.2757,89.2757,1,20,20,20
20,1457,1247,98.6538,111.467,115.142,9009,21.7778,20,22
22,537,53,79.1908,79.1908,79.1908,1,22,22,22
22,886,1202,98.4766,101.195,103.913,2,22,22,22
22,1190,44,84.051,84.2182,84.3251,6,22,22,22
23,49,1169,80.7353,80.7353,80.7353,1,23,23,23
23,212,626,92.5633,93.6893,94.8152,2,23,23,23
23,888,466,88.3989,89.4431,91.3765,3060,23,23,23
24,523,121,98.2266,100.478,103.17,18564,24,24,24
24,684,177,89.2657,89.6699,90.0741,10,24,24,24
24,1178,1517,107.184,109.846,112.731,817190,24,24,24
25,1008,527,93.8091,95.7559,97.3672,455,25,25,25
25,1470,1059,106.766,109.524,112.109,112,25,25,25
26,603,220,119.028,120.251,121.745,11440,26,26,26
26,1221,167,100.578,101.102,101.515,36,26,26,26
26,1320,307,99.3452,99.4424,99.5396,2,26,26,26
27,77,1088,101.974,102.1,102.293,3,27,27,27
27,889,525,121.531,123.846,126.928,251940,27,27,27
27,1174,121,104.328,106.735,108.065,3,27,27,27
27,1556,566,89.575,89.575,89.575,1,27,27,27
28,781,354,129.429,129.671,129.954,18,28,28,28
28,1151,640,108.64,109.259,110.258,462,28,28,28
28,1301,249,106.916,107.589,108.559,1365,28,28,28
29,130,1100,111.526,112.769,113.656,3,29,29,29
30,599,1213,104.887,104.932,104.988,3,30,30,30
30,870,1467,113.017,114.875,116.78,455,30,30,30
31,30,978,115.463,116.297,117.02,55,31,31,31
31,64,1197,138.593,141.849,145.666,6.2491e+06,31,31,31
31,353,965,124.52,125.527,126.3,108,31,31,31
31,671,178,136.232,137.75,139.823,48620,31,31,31
31,1370,363,124.638,126.579,128.521,2,31,31,31
32,223,885,115.455,115.708,116.072,15,32,32,32
32,652,1574,157.057,158.881,160.579,171,44,44,44
33,394,1252,119.788,119.788,119.788,1,33,33,33
33,599,105,142.162,158.299,164.285,59024,34.8387,33,35
33,926,1463,166.825,170.073,173.219,1.29329e+06,37,37,37
33,1179,568,129.198,130.168,131.916,3003,33,33,33
34,48,680,135.701,138.833,141.984,26,34,34,34
34,165,706,144.082,146.507,149.733,639540,34,34,34
34,1052,9,168.176,172.692,176.096,3,38,38,38
34,1100,563,145.504,147.308,149.714,87516,34,34,34
35,1412,505,133.989,138.951,142.785,3,35,35,35
36,266,1227,143.442,147.261,151.098,9690,36,36,36
37,818,1506,140.599,142.842,146.085,38760,37,37,37
37,1242,681,165.457,166.588,167.696,9009,37,37,37
37,1263,679,162.109,164.048,165.92,3861,37,37,37
37,1331,601,143.879,145.251,146.586,495,37,37,37
37,1582,628,152.24,153.915,155.902,43758,37,37,37
38,1017,411,157.976,174.348,181.189,213864,39.8881,38,40
38,1085,479,158.481,163.124,168.551,77520,38,38,38
39,1236,302,162.424,167.348,172.863,17136,39,39,39
40,344,1209,157.428,160.022,164.039,346104,40,40,40
40,491,1266,160.177,164.723,167.982,45,42,42,42
40,1098,380,190.897,195.121,199.75,302841,48,48,48
41,1129,286,159.387,161.523,164.543,77520,41,41,41
41,1193,452,162.555,217.038,222.81,3.92256e+06,48.9999,41,49
41,1474,802,173.958,177.37,180.741,8.43628e+06,41,41,41
42,1012,236,167.338,169.216,171.722,9009,42,42,42
43,180,964,174.798,181.452,187.004,858,45,45,45
43,183,921,207.746,214.476,221.083,377910,51,51,51
43,938,89,213.411,219.242,224.515,1.49226e+06,51,51,51
44,1035,278,188.04,190.296,193.503,151164,46,46,46
44,1151,373,211.437,218.685,224.173,1.59352e+07,50,50,50
45,231,1055,198.366,200.549,202.76,352716,47,47,47
