hop_count,src,dst,min,avg,max,path_count,avg_hop,min_hop,max_hop
3,357,314,13.0996,19.6577,26.2202,3,4,3,5
3,1128,1062,11.0851,11.0851,11.0851,1,3,3,3
3,1295,1315,17.6836,21.9696,24.1402,3,3.66667,3,4
3,1502,1436,8.6952,8.6952,8.6952,1,3,3,3
4,867,825,20.2813,29.116,33.5336,6,5.33333,4,6
5,256,320,22.2079,35.64,42.5157,10,7,5,8
5,424,337,19.7293,32.9876,46.2232,5,7,5,9
5,577,595,30.7505,35.1859,37.4358,3,5.66667,5,6
6,1209,1226,37.2873,42.099,43.744,4,6.75,6,7
6,1508,1571,31.7466,44.7407,51.33,10,8,6,9
7,49,10,39.6944,48.5906,53.1366,6,8.33333,7,9
7,1162,1201,39.3136,48.2634,52.8212,6,8.33333,7,9
7,1265,1226,39.2183,39.2183,39.2183,1,7,7,7
8,1430,22,29.4836,29.4836,29.4836,1,8,8,8
9,975,892,47.2645,47.2645,47.2645,1,9,9,9
9,1306,1200,45.4422,45.4422,45.4422,1,9,9,9
10,64,1575,54.5207,67.9466,74.8563,10,12,10,13
10,733,628,51.9847,51.9847,51.9847,1,10,10,10
11,162,12,52.7206,52.7206,52.7206,1,11,11,11
11,1300,1311,71.9537,71.9537,71.9537,1,11,11,11
12,278,152,60.7757,60.7757,60.7757,1,12,12,12
12,664,632,85.0179,85.0179,85.0179,1,14,14,14
12,1147,1021,60.2026,80.14,100.106,7,15,12,18
12,1524,78,61.0831,61.0831,61.0831,1,12,12,12
13,25,1386,53.9555,104.497,121.895,286,20.5,13,23
13,141,1462,49.7371,89.4046,129.092,13,19,13,25
13,1466,1203,47.672,86.2679,124.832,13,19,13,25
15,388,465,85.6768,85.6768,85.6768,1,15,15,15
15,576,698,96.0405,96.0405,96.0405,1,17,17,17
16,214,382,81.7767,120.467,133.987,165,22,16,24
16,1375,1517,86.9253,106.766,126.588,7,19,16,22
17,392,743,60.496,112.112,163.702,17,25,17,33
18,24,252,87.2521,131.8,154.463,66,24.6667,18,28
18,594,782,107.615,107.615,107.615,1,20,20,20
18,992,596,63.8709,63.8709,63.8709,1,18,18,18
19,194,405,95.6727,138.937,160.935,66,25.6667,19,29
20,663,384,90.0549,148.027,177.484,105,28.6667,20,33
20,1457,1247,101.79,149.298,166.215,286,27.5,20,30
22,537,53,79.1908,79.1908,79.1908,1,22,22,22
22,886,1202,103.271,162.815,193.466,120,31.3333,22,36
22,1190,44,84.051,172.828,217.621,231,35.3333,22,42
23,49,1169,84.0277,84.0277,84.0277,1,23,23,23
23,212,626,95.0952,157.093,219.09,20,32.5,23,42
23,888,466,89.1808,181.321,212.579,1540,37.25,23,42
24,523,121,105.534,105.534,105.534,1,24,24,24
24,684,177,89.2657,165.556,241.846,24,35.5,24,47
24,1178,1517,111.66,161.25,210.84,16,31.5,24,39
25,1008,527,98.7368,171.463,244.169,23,36,25,47
25,1470,1059,159.869,159.869,159.869,1,33,33,33
26,603,220,118.387,204.208,233.807,1140,38.75,26,43
26,1221,167,100.415,177.739,255.035,25,38,26,50
26,1320,307,228.324,310.944,393.565,26,58.5,46,71
27,77,1088,102.351,187.19,272.034,27,40,27,53
27,889,525,119.795,204.527,234.579,1140,39.75,27,44
27,1174,121,103.417,224.026,265.043,2925,45,27,51
27,1556,566,89.575,89.575,89.575,1,27,27,27
28,781,354,125.252,188.484,251.716,20,37.5,28,47
28,1151,640,110.521,187.106,263.691,24,39.5,28,51
28,1301,249,106.112,223.628,264.254,2925,46,28,52
29,130,1100,224.604,360.932,407.964,4060,67.25,47,74
30,599,1213,109.206,109.206,109.206,1,30,30,30
30,870,1467,116.78,244.878,290.699,4060,50.25,30,57
31,30,978,115.463,244.695,310.32,465,50.3333,31,60
31,64,1197,145.591,232.154,276.116,231,44.3333,31,51
31,353,965,207.271,341.753,389.385,4060,65.25,45,72
31,671,178,134.404,207.624,280.88,23,42,31,53
31,1370,363,123.486,254.204,298.58,3654,50.5,31,57
32,223,885,113.013,210.355,307.715,31,47,32,62
32,652,1574,115.918,249.94,318.352,496,52,32,62
33,394,1252,119.788,119.788,119.788,1,33,33,33
33,599,105,154.938,230.251,305.564,24,46.5,35,58
33,926,1463,142.673,263.337,304.298,2925,51,33,57
33,1179,568,124.305,247.344,309.991,435,51.6667,33,61
34,48,680,205.311,205.311,205.311,1,44,44,44
34,165,706,143.553,226.797,310.04,26,46.5,34,59
34,1052,9,149.874,258.051,313.027,351,50.6667,34,59
34,1100,563,174.936,255.453,335.97,26,50.5,38,63
35,1412,505,219.042,318.211,417.358,31,62,47,77
36,266,1227,191.802,286.769,381.737,30,58.5,44,73
37,818,1506,146.357,284.559,354.766,528,57.6667,37,68
37,1242,681,165.401,251.328,337.275,27,50,37,63
37,1263,679,154.925,289.408,337.041,4060,57.25,37,64
37,1331,601,136.468,136.468,136.468,1,37,37,37
37,1582,628,147.528,294.314,346.29,4960,58.75,37,66
38,1017,411,167.295,300.239,347.685,4495,59,38,66
38,1085,479,157.015,248.708,340.394,29,52,38,66
39,1236,302,174.593,174.593,174.593,1,41,41,41
40,344,1209,165.522,274.586,383.649,34,56.5,40,73
40,491,1266,161.163,161.163,161.163,1,40,40,40
40,1098,380,199.604,302.972,406.367,33,62,46,78
41,1129,286,162.514,334.198,393.51,7770,66.5,41,75
41,1193,452,169.525,169.525,169.525,1,41,41,41
41,1474,802,174.784,312.931,383.083,528,61.6667,41,72
42,1012,236,222.469,223.503,224.538,2,52.5,52,53
43,180,964,207.294,361.054,439.366,666,72.3333,49,84
43,183,921,187.655,352.03,410.256,7140,69.75,45,78
43,938,89,201.753,353.749,431.275,630,69.6667,47,81
44,1035,278,213.487,362.457,439.003,666,71.3333,48,83
44,1151,373,220.995,340.019,458.974,74,68.0135,50,86
45,231,1055,190.135,305.83,421.525,36,62.5,45,80
