hop_count,src,dst,min,avg,max,path_count,avg_hop,min_hop,max_hop
3,357,314,13.0996,19.6577,26.2202,3,4,3,5
3,1128,1062,11.0851,11.0851,11.0851,1,3,3,3
3,1295,1315,17.6836,21.9696,24.1402,3,3.66667,3,4
3,1502,1436,8.6952,8.6952,8.6952,1,3,3,3
4,867,825,20.2813,29.116,33.5336,6,5.33333,4,6
5,256,320,22.2079,35.64,42.5157,10,7,5,8
5,424,337,19.7293,32.9876,46.2232,5,7,5,9
5,577,595,30.6497,35.9951,37.4358,5,5.8,5,6
6,1209,1226,37.416,42.7085,43.9024,6,6.83333,6,7
6,1508,1571,31.6215,46.3677,51.3632,20,8.25,6,9
7,49,10,39.269,50.474,53.1366,21,8.66667,7,9
7,1162,1201,39.4078,50.3156,52.8212,21,8.66667,7,9
7,1265,1226,40.0422,50.4824,53.0287,21,8.66667,7,9
8,1430,22,235.869,235.869,235.869,1,64,64,64
9,975,892,46.2188,68.7859,73.6108,126,12.3333,9,13
9,1306,1200,44.7508,71.5135,78.3631,126,13,9,14
10,64,1575,295.001,422.309,444.117,2.0358e+06,96.125,76,99
10,733,628,50.763,78.9643,84.9056,252,14.1667,10,15
11,162,12,51.7335,89.2149,98.8146,330,16.6,11,18
11,1300,1311,71.9537,75.1921,78.4304,2,11.5,11,12
12,278,152,59.7649,93.1453,99.9899,924,17.1429,12,18
12,664,632,72.0379,84.2521,85.8298,66,13.8182,12,14
12,1147,1021,59.8518,65.4395,66.508,7,12.8571,12,13
12,1524,78,256.831,373.835,395.412,230230,89.1429,72,92
13,25,1386,232.466,308.185,334.297,816,76.25,65,80
13,141,1462,222.517,282.043,341.549,19,70,61,79
13,1466,1203,47.672,86.2679,124.832,13,19,13,25
15,388,465,85.6157,113.09,119.384,2730,19.1667,15,20
15,576,698,83.2191,113.691,117.585,3003,19.5455,15,20
16,214,382,78.4808,126.889,134.089,12870,23.1111,16,24
16,1375,1517,87.455,121.88,126.588,8008,21.4545,16,22
17,392,743,60.496,89.5368,118.578,10,21.5,17,26
18,24,252,87.8224,144.947,154.463,43758,26.8889,18,28
18,594,782,94.8299,140.746,147.02,43758,25.2727,18,26
18,992,596,63.8709,63.8709,63.8709,1,18,18,18
19,194,405,92.55,152.514,161.063,92378,28,19,29
20,663,384,89.2757,123.672,129.953,1716,25.25,20,26
20,1457,1247,98.1846,159.685,167.656,184756,29.0909,20,30
22,537,53,79.1908,79.1908,79.1908,1,22,22,22
22,886,1202,98.4766,134.754,140.051,3003,27.3333,22,28
22,1190,44,197.599,290.774,337.807,253,68,54,75
23,49,1169,181.498,203.625,214.928,21,56.3333,53,58
23,212,626,90.1405,111.752,117.324,70,26.2,23,27
23,888,466,91.3765,101.553,104.234,15,24.6,23,25
24,523,121,98.4443,202.277,223.236,134596,39.4286,24,42
24,684,177,89.2657,139.015,188.765,16,31.5,24,39
24,1178,1517,112.31,197.869,210.84,1.3075e+06,37.5,24,39
25,1008,527,93.8091,93.8091,93.8091,1,25,25,25
25,1470,1059,106.48,212.73,229.828,480700,40.75,25,43
26,603,220,121.168,196.002,207.298,497420,37.7,26,39
26,1221,167,189.955,258.682,293.847,153,60.6667,50,66
26,1320,307,178.687,211.303,243.924,11,53,48,58
27,77,1088,176.051,179.316,182.582,2,47.5,47,48
27,889,525,125.45,125.45,125.45,1,27,27,27
27,1174,121,187.21,277.716,308.429,1330,64.5,51,69
27,1556,566,146.082,146.082,146.082,1,45,45,45
28,781,354,129.965,169.716,175.653,11440,34.3,28,35
28,1151,640,109.234,207.394,230.07,33649,43,28,46
28,1301,249,190.948,252.672,268.796,1820,61.6,52,64
29,130,1100,173.834,182.669,187.091,6,48.3333,47,49
30,599,1213,104.887,135.875,151.711,36,34.6667,30,37
30,870,1467,116.78,202.164,232.745,1330,43.5,30,48
31,30,978,162.084,251.255,296.506,231,58.3333,45,65
31,64,1197,258.987,297.573,305.227,24752,69,63,70
31,353,965,125.555,224.483,250.668,8855,46.2,31,50
31,671,178,139.95,225.088,237.848,1.3075e+06,44.5,31,46
31,1370,363,184.359,224.019,232.737,792,56.8333,51,58
32,223,885,116.072,184.466,219.12,153,42.6667,32,48
32,652,1574,157.057,259.75,312.192,300,59.3333,44,67
33,394,1252,139.176,139.176,139.176,1,39,39,39
33,599,105,141.998,258.858,273.883,2.003e+07,50.2727,33,52
33,926,1463,144.041,248.658,264.234,4.68682e+06,49.2,33,51
33,1179,568,131.916,247.86,273.112,80730,51.3333,33,55
34,48,680,132.511,167.553,173.887,924,39.1429,34,40
34,165,706,149.935,195.301,202.146,24310,41.2,34,42
34,1052,9,218.509,356.294,375.988,2.80488e+07,76.7,56,79
34,1100,563,149.876,274.434,293.399,2.01601e+07,53.8,34,56
35,1412,505,172.607,178.208,179.391,6,47.8333,47,48
36,266,1227,199.457,239.445,246.165,3432,56.125,50,57
37,818,1506,141.33,255.621,278.961,230230,54.1429,37,57
37,1242,681,167.32,269.626,285.387,4.29484e+07,53.0833,37,55
37,1263,679,163.639,262.683,276.259,8.43628e+06,52.4545,37,54
37,1331,601,146.702,248.924,277.228,10626,53,37,57
37,1582,628,208.023,315.386,333.017,2.22008e+06,67.8889,51,70
38,1017,411,157.201,187.927,191.804,3003,42.5455,38,43
38,1085,479,159.948,172.022,173.644,66,39.8182,38,40
39,1236,302,207.429,268.382,276.389,184756,62.0909,53,63
40,344,1209,178.285,212.639,218.959,1716,51.25,46,52
40,491,1266,152.094,202.903,213.63,2002,47.5,40,49
40,1098,380,167.428,201.668,207.2,3003,45.3333,40,46
41,1129,286,174.152,232.158,242.643,19448,53.75,45,55
41,1193,452,157.267,175.049,177.976,120,43.625,41,44
41,1474,802,180.741,243.988,252.543,352716,51,41,52
42,1012,236,171.884,242.13,256.698,27132,53.1429,42,55
43,180,964,170.084,284.283,300.993,2.22008e+06,59.8889,43,62
43,183,921,178.044,280.949,294.382,8.43628e+06,58.4545,43,60
43,938,89,189.087,301.735,318.157,6.9069e+06,64.1,47,66
44,1035,278,187.342,250.272,259.77,167960,53.9,44,55
44,1151,373,173.935,215.27,221.782,6435,50.2222,44,51
