hop_count,src,dst,min,avg,max,path_count,avg_hop,min_hop,max_hop
3,357,314,13.0996,13.1155,13.1357,3,3,3,3
3,1128,1062,11.0851,11.0851,11.0851,1,3,3,3
3,1295,1315,17.5528,17.6142,17.6836,3,3,3,3
3,1502,1436,8.6952,8.6952,8.6952,1,3,3,3
4,867,825,20.2813,20.3943,20.4521,6,4,4,4
5,256,320,22.2079,22.5682,22.9045,10,5,5,5
5,424,337,19.7293,19.9028,20.0535,5,5,5,5
5,577,595,30.6497,30.7612,30.8934,5,5,5,5
6,1209,1226,37.1448,37.2631,37.416,6,6,6,6
6,1508,1571,31.5166,31.6516,31.7466,20,6,6,6
7,49,10,39.269,39.5701,40.0528,21,7,7,7
7,1162,1201,39.2084,39.4281,39.752,21,7,7,7
7,1265,1226,39.2183,39.591,40.0422,21,7,7,7
8,1430,22,235.869,235.869,235.869,1,64,64,64
9,975,892,46.2188,46.9813,47.4477,126,9,9,9
9,1306,1200,44.7508,45.3492,45.6589,126,9,9,9
10,64,1575,283.776,288.65,295.001,2.69783e+07,76,76,76
10,733,628,50.763,51.7086,52.2014,252,10,10,10
11,162,12,51.7335,52.5849,53.029,330,11,11,11
11,1300,1311,71.8942,71.9239,71.9537,2,11,11,11
12,278,152,58.8335,59.5488,60.7757,924,12,12,12
12,664,632,71.922,72.3652,72.7469,66,12,12,12
12,1147,1021,58.9264,59.6358,60.8519,924,12,12,12
12,1524,78,256.831,264.581,269.256,2.76068e+06,72,72,72
13,25,1386,232.466,236.317,239.206,4060,65,65,65
13,141,1462,222.517,223.591,224.646,31,61,61,61
13,1466,1203,46.4401,47.072,47.672,13,13,13,13
15,388,465,84.9947,85.8442,86.6853,2730,15,15,15
15,576,698,82.9446,83.9736,84.8779,3003,15,15,15
16,214,382,78.4808,80.4006,81.7767,12870,16,16,16
16,1375,1517,84.983,86.2382,87.455,8008,16,16,16
17,392,743,59.1909,59.8567,60.496,17,17,17,17
18,24,252,85.1252,86.7926,89.0438,43758,18,18,18
18,594,782,91.5305,93.222,94.8299,43758,18,18,18
18,992,596,63.8709,63.8709,63.8709,1,18,18,18
19,194,405,91.5527,93.6941,95.6727,92378,19,19,19
20,663,384,87.2173,89.3309,92.4393,77520,20,20,20
20,1457,1247,98.1846,100.234,102.248,184756,20,20,20
22,537,53,79.1908,79.1908,79.1908,1,22,22,22
22,886,1202,98.4766,101.707,103.913,319770,22,22,22
22,1190,44,197.599,200.109,202.082,595,54,54,54
23,49,1169,181.498,182.642,184.066,171,53,53,53
23,212,626,90.1405,93.3191,95.0952,8855,23,23,23
23,888,466,88.3989,89.4431,91.3765,3060,23,23,23
24,523,121,98.1177,101.463,105.534,134596,24,24,24
24,684,177,89.2657,90.3203,91.3749,24,24,24,24
24,1178,1517,106.694,109.661,112.77,1.3075e+06,24,24,24
25,1008,527,93.8091,95.7559,97.3672,455,25,25,25
25,1470,1059,106.48,109.74,112.109,480700,25,25,25
26,603,220,115.819,118.93,122.603,3.12455e+06,26,26,26
26,1221,167,186.03,188.2,189.955,435,50,50,50
26,1320,307,178.33,178.506,178.687,23,48,48,48
27,77,1088,175.867,175.959,176.051,14,47,47,47
27,889,525,121.531,124.03,126.475,646646,27,27,27
27,1174,121,187.21,190.847,193.019,5456,51,51,51
27,1556,566,146.082,146.082,146.082,1,45,45,45
28,781,354,122.375,125.927,129.965,6.9069e+06,28,28,28
28,1151,640,108.64,109.259,110.258,462,28,28,28
28,1301,249,187.247,188.791,190.948,20475,52,52,52
29,130,1100,173.834,174.599,175.076,120,47,47,47
30,599,1213,104.887,106.169,107.764,210,30,30,30
30,870,1467,108.209,112.551,116.78,4060,30,30,30
31,30,978,162.084,162.875,163.518,45,45,45,45
31,64,1197,253.094,257.11,260.584,6.91946e+07,63,63,63
31,353,965,124.52,125.394,125.85,330,31,31,31
31,671,178,131.011,135.269,139.95,2.01601e+07,31,31,31
31,1370,363,184.359,188.54,191.611,42504,51,51,51
32,223,885,115.455,115.708,116.072,15,32,32,32
32,652,1574,157.057,160.846,164.376,666,44,44,44
33,394,1252,139.176,139.176,139.176,1,39,39,39
33,599,105,141.998,146.738,151.223,9.2561e+07,33,33,33
33,926,1463,137.568,142.211,147.32,3.85671e+07,33,33,33
33,1179,568,129.198,130.168,131.916,3003,33,33,33
34,48,680,132.511,138.909,142.438,1.3449e+06,34,34,34
34,165,706,139.644,144.565,149.935,5.24513e+07,34,34,34
34,1052,9,215.055,222.33,229.337,7.08931e+08,56,56,56
34,1100,563,145.752,147.669,149.876,92378,34,34,34
35,1412,505,172.607,175.416,177.104,8568,47,47,47
36,266,1227,194.65,199.267,202.019,657800,50,50,50
37,818,1506,139.691,144.611,151.966,2.32478e+06,37,37,37
37,1242,681,165.457,166.521,167.466,8736,37,37,37
37,1263,679,162.109,163.081,164.04,3003,37,37,37
37,1331,601,144.244,145.698,146.702,495,37,37,37
37,1582,628,205.868,206.935,208.307,6435,51,51,51
38,1017,411,157.201,160.695,163.976,8.43628e+06,38,38,38
38,1085,479,158.481,161.42,164.249,1.96126e+06,38,38,38
39,1236,302,206.155,210.791,215.228,6.45122e+07,53,53,53
40,344,1209,175.491,178.365,182.623,480700,46,46,46
40,491,1266,152.094,156.24,158.451,65780,40,40,40
40,1098,380,161.703,165.594,169.025,1.56228e+06,40,40,40
41,1129,286,171.971,175.768,180.92,1.56078e+06,45,45,45
41,1193,452,157.267,160.598,163.229,170544,41,41,41
41,1474,802,168.263,174.585,180.741,1.1211e+09,41,41,41
42,1012,236,161.712,166.872,171.884,736281,42,42,42
43,180,964,170.084,171.446,172.452,6435,43,43,43
43,183,921,177.584,178.561,179.485,3003,43,43,43
43,938,89,184.328,190.571,196.984,2.73439e+08,47,47,47
44,1035,278,178.998,183.602,188.345,2.80488e+07,44,44,44
44,1151,373,172.087,175.71,179.685,2.22008e+06,44,44,44
45,231,1055,198.366,200.549,202.76,352716,47,47,47
